F.I.SH,HEMIS Login,Fakultet,Universitet,Ro'yxatdan o'tgan vaqti
Malika Aliyeva,login_malika_aliyeva_886,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:28:19
Malika Tursunov,login_malika_tursunov_145,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:20:05
Malika Yusupova,login_malika_yusupova_708,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:28:19
Malika Yusupova,login_malika_yusupova_120,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:20:05
Nodira Aliyeva,login_nodira_aliyeva_757,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:28:19
Nodira Yusupova,login_nodira_yusupova_422,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:28:19
Nodira Yusupova,login_nodira_yusupova_146,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:20:05
Nodira Yusupova,login_nodira_yusupova_549,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:20:05
Sardor Karimov,login_sardor_karimov_545,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:20:05
Sardor Karimov,login_sardor_karimov_532,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:28:19
Sardor Oripova,login_sardor_oripova_110,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:28:19
Sardor Saidova,login_sardor_saidova_986,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:20:05
Sardor Umarova,login_sardor_umarova_464,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:20:05
Shahnoza Abdullayev,login_shahnoza_abdullayev_818,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:20:05
Shahnoza Abdullayev,login_shahnoza_abdullayev_886,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:28:19
Shahnoza Aliyeva,login_shahnoza_aliyeva_570,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:28:19
Shahnoza Karimov,login_shahnoza_karimov_998,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:28:19
Shahnoza Rahimov,login_shahnoza_rahimov_785,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:28:19
Shahnoza Tursunov,login_shahnoza_tursunov_769,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:28:19
Shahnoza Umarova,login_shahnoza_umarova_194,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:20:05
Talaba Bir,login_Talaba_Bir,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 19:54:08
Talaba Ikki,login_Talaba_Ikki,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 19:54:08
Talaba To'rt,login_Talaba_To'rt,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 20:01:53
Talaba Uch,login_Talaba_Uch,Fizika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 19:54:08
ABDULLAYEVA MAHLIYO SHERZOD QIZI,395241100572,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 08:39:37
ABDULLAYEVA SHAXRIZODA AKBARJONOVNA,395231100014,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:03:07
Abdumuminova Mumtozbegim Iqboliddin Qizi,395221100526,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 03:18:59
ABDURAXMONOVA MAHFUZA DILMUROD QIZI,395251101695,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 17:42:30
ABDURAXMONOVA SARVINOZ TOSHBOY QIZI,395241100671,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:34:08
ADXAMOV MEXRUZBEK NODIRBEK O‘G‘LI,395241100173,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 21:39:38
AKBAROVA ZIYODAXON RAXMONALI QIZI,395251100298,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 17:58:01
ALIMJONOV KOMRONBEK SHUHRAT O‘G‘LI,395241100004,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:55:59
AMONDILLOYEVA ASILABONU DILSHOD QIZI,395241100574,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:28:40
ANORBOYEV ASADBEK QUDRATILLA O‘G‘LI,395231100138,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:03:24
ANVAROVA GULIRA’NO AZIZJON QIZI,395241100029,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:33:52
BABAJONOVA SEVARA HAMRO QIZI,395241100744,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:19:17
BAXRIDDINOVA MAHLIYO FAZLIDDIN QIZI,395241100018,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:29:13
Bekmanov Murod Shermatovich,395251100273,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:41:05
BOBOQULOV MEHRIDDIN FAZLIDDINOVICH,395241100022,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:08:00
BOQIYEVA MAFTUNA BAXTIYOR QIZI,395241100568,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:21:40
BO‘RANOVA SEVINCH O‘ROL QIZI,395241101378,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:34:29
BOTUROVA PARIZODA ADXAM QIZI,395231100089,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:38:46
BOZORBOYEVA MEHRIBON ULUG‘BEK QIZI,395251100379,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:34:22
BOZORBOYEVA MOHIM PO‘LAT QIZI,395251100341,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:11:25
ERGASHEVA NIGINA RAXMATALI QIZI,395241100764,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:50:04
ERGASHOVA DILOROM SAYDULLA QIZI,395251100299,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:46:03
ERGASHOVA ZARINA JUMANAZAR QIZI,395251100166,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:28:10
ESIRGAPOVA O‘G‘ILOY DILSHOD QIZI,395251100454,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:10:28
FAYZULLAYEVA FOTIMA HASAN QIZI,395231100719,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:08:59
G‘Ulomnazarova Asolatxon Umidjon Qizi,395241100743,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 05:25:39
ISHPULATOVA SARVINOZ ZAFAR QIZI,395231100074,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:12:30
JO‘RAYEVA SHAKIRA HOKIMBEK QIZI,395241100033,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 17:49:33
JUMANAZAROVA MARYAM SIROJIDDIN QIZI,395221100567,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:05:04
KARIMOVA NOZANIN ZOKIR QIZI,395251100461,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:43:50
KO‘CHAROV JAVOHIRBEK NURIDDIN O‘G‘LI,395251100265,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 20:47:04
MAMATXANOV XASAN ALIDJAN O‘G‘LI,395241101558,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:23:19
MARDONOVA MALIKA BEKTOSH QIZI,395241100606,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 18:08:09
MARQAYEVA HUSNOBOD HAMRO QIZI,395251100447,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 05:21:42
MAXMUDJONOV XUMOYUN MAXMUDJON O‘G‘LI,395251100383,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 05:21:17
MISHAYEVA MARJONA UMIDJON QIZI,395251100158,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 17:52:13
MUHIDDINOVA MAFTUNA ZOIRJON QIZI,395241100020,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:05:52
MURTOZOYEV QODIRJON OLIM O‘G‘LI,395241100712,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:18:48
MUSTAFAYEVA MADINA MUSTAFA QIZI,395241100752,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:39:25
MUSULMONOVA SUG‘DIYONA O‘TKIR QIZI,395241100023,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:06:26
NURULLOYEVA MASHXURA OTAMUROD QIZI,395241100571,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:20:00
OBIDJONOV MIRKOZIM DAVRONJON O‘G‘LI,395241100941,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 19:13:28
O‘KTAMOVA RUXSHONA SHERMAT QIZI,395251100160,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 08:38:46
O‘ROQOVA JASMINA AKTAM QIZI,395241100008,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 20:31:54
PRIMOVA GULHAYO VALIBOY QIZI,395241100025,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:54:50
QAXRAMONOVA RISOLAT BAXTIYOR QIZI,395251100421,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:45:07
QO‘CHKAROVA SARVINOZ RAVSHANBEK QIZI,395241100630,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 20:19:40
QUDRATILLAYEVA MOHINA MURODJON QIZI,395251100271,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 05:09:26
QURBONBOYEVA ROBIYABONU ULUG‘BEK  QIZI,395251102173,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 16:55:59
QURBONBOYEVA ZILOLA RASULBEK QIZI,395251100252,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 08:38:32
RASULOVA ZEBONISO RAVSHAN QIZI,395241100011,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:24:04
RAXIMOVA SEVINCHOY HIKMAT QIZI,395241100673,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 07:01:14
RISQIMBOYEVA SHIRINA SHOVKAT QIZI,395251100418,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:47:36
SAIDXO‘JAYEVA GULASAL IKBOLJON QIZI,395241100957,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:14:06
SALOMOVA DILCHEHRA ORIFBOY QIZI,395231100075,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:48:41
SHARIPOVA MASHHURA OYBEK QIZI,395251100311,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:14:34
SHAROBIDDINOV ULUG‘BEK O‘RINBOY O‘G‘LI,395241100569,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:40:24
SHAROBIDINOVA RAYXONAXON LOCHINBEK QIZI,395251100343,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 03:44:54
TEMUROV HURRAMBEK BAXTIYOROVICH,395221100267,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 21:12:09
TO`XTAMURODOVA SEVINCH DILMUROD QIZI,395241100952,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:41:54
TURG‘UNBOYEVA MA’RUFABEGIM ZIKIRYO QIZI,395251100381,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 19:31:58
UMURZAQOVA SEVINCH IBRAGIM QIZI,395241101159,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:57:39
URALOVA RUSHANABONU NURBEK QIZI,395241101319,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 18:29:18
XASANOVA MALOXAT RAVSHAN QIZI,395251100325,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:46:37
YARIYEV OTABEK BOYG‘OZI O‘G‘LI,395231100086,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:41:18
YO‘LDOSHEVA GULG‘UNCHA SAMANDAR QIZI,395251100417,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:35:23
Yo‘Ldosheva Nigora Abdumutal Qizi,395251100232,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 18:25:40
YUSUPOV SHAHRIYOR RAXMATULLA O‘G‘LI,395251101776,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:07:11
ZAYLOBIDDINOVA DILAFRUZ RO`ZIMATALI QIZI,395241100888,Jurnalistika fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 05:23:19
ABDUKARIMOVA SHAXZODA DONIYOR QIZI,395251101876,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:02:07
ABDULLAYEVA NASIBA XABIBULLA QIZI,395241100374,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 05:29:35
ABDUNABIYEV BEXRUZ BAXROM O‘G‘LI,395251101970,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 21:27:45
ABDUNAZAROVA MOXINUR IKROMJON QIZI,395251101277,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:12:31
ABDUQAYUMOVA SEVINCH ABDURAXIM QIZI,395241100417,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:47:04
ABDURAXIMOVA GULSANAMXON NODIRJON QIZI,395241100344,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:36:13
ABDUSALOMOVA MASHHURA ABDURASHID QIZI,395221100473,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 17:24:45
Abduxakimova Nasiba Abdumannop Qizi,395251101384,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 16:44:51
ABDUXAKIMOV SHOHRUH ABROROVICH,395251101439,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-20 19:49:02
ABDUXOSHIMOVA MADINAXON KOMILJON QIZI,395241100078,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 04:44:37
ABDUZOXIDOVA ROBIYABONU SANJAR QIZI,395251101431,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 06:22:40
Akramjonov Muxammadali Ulug‘Bek O‘G‘Li,395251101411,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-06 17:11:41
ALINAZAROVA DILSO‘ZXON ALIMARDON QIZI,395251101849,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-20 17:52:46
ALIXONOVA NAZOKATXON SOLIXO‘JA QIZI,395241100043,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:27:49
AMANKULOVA IRODA NURMUXAMMAD KIZI,395241100114,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:55:02
AMIROV SADRIDDIN SAIDBURXON O‘G‘LI,395251101592,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 18:12:15
ASROROVA SOHILA MUHAMMADALI QIZI,395251101899,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 02:14:22
AXMEDOVA AZIZAXON ABBOS QIZI,395251101838,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 05:21:31
Axmedova Ozoda Elmurod Qizi,395251101310,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:43:54
AZAMATOV BEHRUZ AKROM O‘G‘LI,395241100106,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:39:05
BAHODIROVA XONZODABEGIM ISROIL QIZI,395241101532,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:01:12
Bahor (TG),395251101661,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 17:20:09
Bahronova Shahribonu Bobir Qizi,395251101395,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 17:56:56
BERDIYEVA NILUFAR OTAXON QIZI,395251101414,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-16 12:05:10
BOBOXONOV BUNYODBEK RUZMAMAT O‘G‘LI,395221100468,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:18:03
BOTIROVA FERIDE AZIM QIZI,395251101694,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 23:00:25
BOTIROVA MUSHTARIY FARHOD QIZI,395251100360,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 05:21:43
BOTIROVA NILUFAR NURILLA QIZI,395221100474,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:10:26
BOZORBOYEVA MEHRIBON OLLABERGAN QIZI,395251101450,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-05 17:06:29
by_juraboyev (TG),395251101455,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 18:24:52
EGAMNAZAROV BOBUR XAYETMURATOVICH,395241100365,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 17:43:41
Eldor Eshpulatov (TG),395251101936,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-16 10:42:13
ELMUROTOVA CHINORA UTKIR QIZI,395251101940,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:03:46
FAYZULLAYEVA ZULXUMOR AKTAM QIZI,395251101297,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:38:30
